"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","האם מדובר ברכוש קבוע"" לא יכול להיבדק כרשומות נכס למול פריט""",
'Based On' and 'Group By' can not be same,הביטויים 'מבוסס על' ו'קבץ לפי' אינם יכולים להיות זהים,
'Days Since Last Order' must be greater than or equal to zero,הקטגוריה 'מספר הימים מההזמנה האחרונה' חייבת להיות גדולה או שווה לאפס,
'Entries' cannot be empty,הקטגוריה 'רשומות' לא יכולה להיות ריקה,
'From Date' is required,הקטגוריה 'מתאריך' נדרשת,
'From Date' must be after 'To Date',התאריך בקטגוריה 'מתאריך' חייב להיות לאחר התאריך בקטגוריה 'עד תאריך',
'Has Serial No' can not be 'Yes' for non-stock item,הקטגוריה 'בעל מספר סידורי' לא יכולה להיות 'כן' בעבור פריט שאינו במלאי,
'Opening','פתיחה'
'To Case No.' cannot be less than 'From Case No.','מספר התיק' לא יכול להיות קטן מהקטגוריה 'ממספר תיק',
'To Date' is required,הקטגוריה 'עד תאריך' נדרשת,
'Total','סך הכל',
'Update Stock' can not be checked because items are not delivered via {0},לא ניתן לבדוק את קטגורית 'עדכון המלאי' כיוון שהפריטים לא מועברים באמצעות {0},
'Update Stock' cannot be checked for fixed asset sale,לא ניתן לבדוק את קטגורית 'עדכון המלאי' למכירת רכוש קבוע,
90-Above,90-מעל,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,כבר קיימת קבוצת לקוחות עם שם זהה אנא שנו את שם הלקוח או לחלופין שנו את שם קבוצת הלקוחות,
A4,A4,
Abbr can not be blank or space,קיצור אינו יכול להכיל רווחים בלבד או לחלופין להיות ריק,
Abbreviation already used for another company,חברה אחרת כבר  משתמשת בקיצור זה,
Abbreviation cannot have more than 5 characters,קיצור לא יכול להיות ארוך יותר מ-5 תווים,
Abbreviation is mandatory,יש להזין קיצור זה,
Above,מעל,
Absent,חסר,
Academic Term,תקופה אקדמית,
Academic Year,שנה אקדמית,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},כמות הפריטים שהתקבלו ונדחו צריכה להיות שווה לכמות שהתקבלה עבור פריט {0}, 
Access Token,מפתח גישה,
Account,חשבון,
Account Pay Only,חשבון לתשלום בלבד
Account Type,סוג החשבון,
Account Type for {0} must be {1},סוג החשבון עבור {0} חייב להיות {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","יתרת החשבון הינה כבר באשראי, אינך מורשה להגדיר את הקטגוריה 'על יתרה להיות' תחת הערך 'חיוב'",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","יתרת החשבון כבר מוגדרת כחיוב, אינך מורשה להגדיר את הקטגוריה 'על יתרה להיות' תחת הערך 'אשראי'",
Account with child nodes cannot be converted to ledger,לא ניתן להמיר חשבון עם תתי-חשבונות ליומן חשבונות,
Account with child nodes cannot be set as ledger,לא ניתן להגדיר חשבון בעל תתי-חשבונות כיומן חשבונות,
Account with existing transaction can not be converted to group.,לא ניתן להמיר חשבון עם עסקה קיימת לקבוצה.,
Account with existing transaction can not be deleted,לא ניתן למחוק חשבון עם עסקה קיימת
Account with existing transaction cannot be converted to ledger,לא ניתן להמיר חשבון ליומן חשבונות אם קיימת בו עסקה,
Account {0} does not belong to company: {1},חשבון {0} אינו שייך לחברה: {1},
Account {0} does not belongs to company {1},חשבון {0} אינו שייך לחברת {1},
Account {0} does not exist,חשבון {0} אינו קיים במערכת,
